,California,Synthetic California,Average Control Units,Importance
per capita cigarette sales,116.21,116.21,130.56952908587257,0.15248036387120809
Ln(GDP per capita),10.03,9.72,9.792332147058824,0.0501451070679152
per capita beer consumption,24.28,22.9,23.65526315789474,0.30310814714429496
proportion age 15-24,0.18,0.19,0.17834482353185593,0.4047523671231561
cigarette retail price,66.64,64.21,64.50457063711912,0.08951401479342566
